Taimekaitsevahendi ID,Toimeaine,Sisaldus,Ühik
00927,Mefentriflukonasool,50.0000,g/l
00844,"Bacillus thuringiensis subsp. aizawai, tüvi GC-91",500.0000,g/kg
658,Nikosulfuroon,30.0000,g/l
658,Mesotrioon,75.0000,g/l
00802,Florasulaam,100.0000,g/kg
00802,Pürokssulaam,240.0000,g/kg
00802,Metüülhalauksifeen,104.2300,g/kg
00802,Klokvintotseethape,212.5000,g/kg
00915,Etofumesaat,417.0000,g/l
634,Bacillus subtilis QST 713,13.9600,g/l
00759,Klopüraliid,600.0000,g/l
641,Klopüraliid,300.0000,g/l
00679,Klopüraliid,720.0000,g/kg
00730,Klopüraliid,720.0000,g/kg
00731,Klopüraliid,720.0000,g/kg
673,Florasulaam,105.0000,g/kg
673,Metüülmetsulfuroon,83.0000,g/kg
673,Metüültribenuroon,83.0000,g/kg
670,Metüültribenuroon,222.0000,g/kg
670,Metüülmetsulfuroon,111.0000,g/kg
325,Metüültiofeensulfuroon,333.0000,g/kg
325,Metüültribenuroon,167.0000,g/kg
357,Metüültribenuroon,500.0000,g/kg
00963,Metüültribenuroon,500.0000,g/kg
271,Metüültribenuroon,500.0000,g/kg
507,Bentasoon,480.0000,g/l
344,Fosetüülalumiinium,800.0000,g/kg
533,Metüültribenuroon,500.0000,g/kg
334,Meksüülklokvintotseet,12.5000,g/l
334,Pinoksadeen,50.0000,g/l
493,Nikosulfuroon,60.0000,g/l
494,Nikosulfuroon,60.0000,g/l
368,Nikosulfuroon,60.0000,g/l
00932,Fluksapüroksaad,300.0000,g/l
535,Dodiin,544.0000,g/l
