Taimekaitsevahendi ID,Toimeaine,Sisaldus,Ühik
00684,"2,4-D",600.0000,g/l
203,Florasulaam,50.0000,g/l
635,Florasulaam,50.0000,g/l
312,Metasakloor,333.0000,g/l
312,Kvinmerak,83.0000,g/l
00872,Aklonifeen,600.0000,g/l
00889,Metasakloor,333.0000,g/l
00889,Kvinmerak,83.0000,g/l
00849,Klomasoon,360.0000,g/l
00859,Klomasoon,360.0000,g/l
00890,Metüültribenuroon,750.0000,g/kg
89,MCPB,400.0000,g/l
82,MCPA,750.0000,g/l
164,MCPA,750.0000,g/l
96,MCPA,750.0000,g/l
00839,Prosulfokarb,800.0000,g/l
00698,Deltametriin,100.0000,g/l
00825,MCPA,750.0000,g/l
651,Deltametriin,25.0000,g/l
00848,Deltametriin,50.0000,g/l
394,Deltametriin,25.0000,g/l
00794,Deltametriin,50.0000,g/l
340,Deltametriin,50.0000,g/l
338,Fluopikoliid,62.5000,g/l
338,Propamokarbhüdrokloriid,625.0000,g/l
00755,Fluopikoliid,200.0000,g/l
00755,Fluoksastrobiin,150.0000,g/l
00788,Protiokonasool,250.0000,g/l
00819,Protiokonasool,300.0000,g/l
00808,Protiokonasool,300.0000,g/l
00801,Protiokonasool,300.0000,g/l
00800,Protiokonasool,300.0000,g/l
00861,Atseetamipriid,200.0000,g/l
196,Kvisalofop-P-tefurüül,40.0000,g/l
00854,Kvisalofop-P-tefurüül,40.0000,g/l
00853,Kvisalofop-P-tefurüül,40.0000,g/l
00891,Pelargoonhape,500.0000,g/l
00897,Nikosulfuroon,40.0000,g/l
95,Etefoon,480.0000,g/l
129,Metüülpirimifoss,500.0000,g/l
67,Propakvisafop,100.0000,g/l
00683,Propakvisafop,100.0000,g/l
170,Kloromekvaatkloriid,750.0000,g/l
294,Kloromekvaatkloriid,750.0000,g/l
00810,Kvisalofop-P-etüül,50.0000,g/l
00834,Propakvisafop,100.0000,g/l
400,Kvisalofop-P-etüül,50.0000,g/l
00892,Pelargoonhape,680.0000,g/l
00894,Protiokonasool,100.0000,g/l
00894,Fenpikoksamiid,50.0000,g/l
603,Etüültrineksapak,75.0000,g/kg
603,Proheksadioonkaltsium,50.0000,g/kg
579,Diflufenikaan,500.0000,g/l
74,Penkonasool,100.0000,g/l
264,Dimetakloor,500.0000,g/l
462,Meksüülklokvintotseet,34.5000,g/l
462,Fenoksaprop-P-etüül,69.0000,g/l
00899,Püraflufeenetüül,10.6000,g/l
45,Dikamba,480.0000,g/l
287,Napropamiid,450.0000,g/l
347,Klomasoon,40.0000,g/l
347,Dimetakloor,500.0000,g/l
515,Biksafeen,40.0000,g/l
515,Fluoksastrobiin,50.0000,g/l
515,Protiokonasool,100.0000,g/l
00770,Prokinasiid,40.0000,g/l
00770,Protiokonasool,160.0000,g/l
00770,Spiroksamiin,200.0000,g/l
116,Amidosulfuroon,750.0000,g/l
376,Protiokonasool,53.0000,g/l
376,Spiroksamiin,224.0000,g/l
376,Tebukonasool,148.0000,g/l
189,Fenoksaprop-P-etüül,69.0000,g/l
00924,Metüültribenuroon,750.0000,g/kg
373,Bifenoks,480.0000,g/l
286,Spiroksamiin,300.0000,g/l
286,Protiokonasool,160.0000,g/l
436,Difenokonasool,250.0000,g/l
00798,Fenoksaprop-P-etüül,69.0000,g/l
00763,P-butüülfluasifop,125.0000,g/l
00786,P-butüülfluasifop,150.0000,g/l
00857,1-naftüüläädikhape,10.0000,g/kg
00858,Penkonasool,100.0000,g/l
00901,Prosulfokarb,800.0000,g/l
00704,Aklonifeen,500.0000,g/kg
00704,Klomasoon,30.0000,g/kg
00765,Aklonifeen,500.0000,g/kg
00765,Klomasoon,30.0000,g/kg
00769,Oksatiapiproliin,100.0000,g/l
00782,Karfentrasoon-etüül,60.0000,g/l
00953,Diflufenikaan,500.0000,g/l
456,Protiokonasool,125.0000,g/l
456,Fluopüraam,125.0000,g/l
604,Protiokonasool,130.0000,g/l
604,Fluopüraam,65.0000,g/l
604,Biksafeen,65.0000,g/l
00792,Mefentriflukonasool,100.0000,g/l
00792,Püraklostrobiin,100.0000,g/l
00867,Püraklostrobiin,200.0000,g/kg
16,Mekoprop-P,600.0000,g/l
00902,Spiroksamiin,300.0000,g/l
00902,Protiokonasool,160.0000,g/l
115,Tsükloksüdiim,100.0000,g/l
416,Fluasinaam,500.0000,g/l
374,Tebukonasool,160.0000,g/l
374,Protiokonasool,80.0000,g/l
00909,Verticillium albo-atrum tüvi WCS850,10.7000,g/l
460,Kvisalofop-P-etüül,50.0000,g/l
00900,Protiokonasool,93.3000,g/l
00900,Spiroksamiin,107.0000,g/l
00900,Trifloksüstrobiin,80.0000,g/l
00779,Metüülmetsulfuroon,60.0000,g/kg
00779,Diflufenikaan,600.0000,g/kg
130,Mekoprop-P,130.0000,g/l
130,MCPA,160.0000,g/l
130,Dikloroprop-P,310.0000,g/l
439,MCPA,660.0000,g/l
439,Dikamba,90.0000,g/l
163,MCPA,500.0000,g/l
88,MCPA,750.0000,g/l
557,Prosulfokarb,800.0000,g/l
503,Tebukonasool,250.0000,g/l
597,Tebukonasool,250.0000,g/l
598,Tebukonasool,250.0000,g/l
00914,Bensoehape,90.0000,g/l
383,Püraklostrobiin,200.0000,g/l
566,Meksüülklokvintotseet,8.3300,g/l
566,Pinoksadeen,33.3000,g/l
566,Pürokssulaam,8.3300,g/l
00863,Meksüülklokvintotseet,11.2500,g/l
00863,Pinoksadeen,45.0000,g/l
00863,Florasulaam,5.0000,g/l
00883,Boskaliid,200.0000,g/l
00883,Mefentriflukonasool,100.0000,g/l
00712,Alumiiniumfosfiid,560.0000,g/kg
592,Kletodiim,120.0000,g/l
00845,Kletodiim,120.0000,g/l
00917,Püraklostrobiin,100.0000,g/l
00917,Proheksadioonkaltsium,25.0000,g/l
00917,Mepikvaatkloriid,150.0000,g/l
00907,Mepikvaatkloriid,300.0000,g/l
00908,Mepikvaatkloriid,300.0000,g/l
00862,Atseetamipriid,200.0000,g/kg
434,Metüültribenuroon,750.0000,g/kg
544,Diflufenikaan,500.0000,g/l
544,Florasulaam,50.0000,g/l
00925,Klorantraniliprool,200.0000,g/l
339,"2,4-D",600.0000,g/l
213,Lambda-tsühalotriin,50.0000,g/l
217,Florasulaam,6.2500,g/l
217,"2,4-D",300.0000,g/l
00705,Meksüülklokvintotseet,70.8000,g/kg
00705,Florasulaam,14.2000,g/kg
00705,Pürokssulaam,70.8000,g/kg
377,Amisulbroom,200.0000,g/l
00778,Amisulbroom,200.0000,g/l
00687,Metüüljodosulfuroon-naatrium,10.0000,g/l
00687,"2,4-D 2-EHE",300.0000,g/l
00687,Metüültieenkarbasoon,7.5000,g/l
00687,Mefenpüür-dietüül,30.0000,g/l
00928,Prosulfokarb,800.0000,g/l
356,Clonostachys rosea J1446,320.0000,g/kg
00745,Fludioksoniil,25.0000,g/l
00745,Sedaksaan,25.0000,g/l
00745,Tritikonasool,20.0000,g/l
00760,Tritikonasool,20.0000,g/l
00760,Fludioksoniil,25.0000,g/l
00760,Sedaksaan,25.0000,g/l
620,Meksüülklokvintotseet,7.5000,g/l
620,Metüülhalauksifeen,7.8100,g/l
616,Fluroksüpüür,280.0000,g/l
616,Meksüülklokvintotseet,12.0000,g/l
616,Metüülhalauksifeen,12.5000,g/l
621,Florasulaam,5.0000,g/l
621,Meksüülklokvintotseet,6.0000,g/l
621,Metüülhalauksifeen,6.2500,g/l
647,Meksüülklokvintotseet,6.0000,g/l
647,Florasulaam,5.0000,g/l
647,Metüülhalauksifeen,6.2500,g/l
00751,Metüülhalauksifeen,104.2300,g/kg
00751,Florasulaam,100.0000,g/kg
00751,Meksüülklokvintotseet,70.8000,g/kg
00686,Kvinmerak,83.0000,g/l
00686,Metasakloor,333.0000,g/l
00710,Kvinmerak,83.0000,g/l
00710,Metasakloor,333.0000,g/l
00893,Metkonasool,90.0000,g/l
519,Dimeteenamiid-P,200.0000,g/l
519,Metasakloor,200.0000,g/l
00718,Dimeteenamiid-P,333.0000,g/l
00718,Kvinmerak,167.0000,g/l
427,Pendimetaliin,455.0000,g/l
00725,Kvinmerak,167.0000,g/l
00725,Dimeteenamiid-P,333.0000,g/l
539,Metasakloor,375.0000,g/l
539,Kvinmerak,125.0000,g/l
514,Metasakloor,375.0000,g/l
514,Kvinmerak,125.0000,g/l
655,Pendimetaliin,400.0000,g/l
00838,Bensovindiflupüür,100.0000,g/l
657,Bensovindiflupüür,100.0000,g/l
00935,Apelsiniõli,843.2000,g/l
495,Lambarasv,64.6000,g/l
496,Lambarasv,64.6000,g/l
321,Verejahu,990.0000,g/kg
175,Ditianoon,700.0000,g/kg
00815,Ditianoon,700.0000,g/kg
585,Asadirahtiin A,10.6000,g/l
527,Biksafeen,60.0000,g/l
527,Protiokonasool,200.0000,g/l
00947,Protiokonasool,250.0000,g/l
00940,Biksafeen,60.0000,g/l
00940,Protiokonasool,200.0000,g/l
00942,Protiokonasool,125.0000,g/l
00942,Fluopüraam,125.0000,g/l
00941,Prosulfokarb,800.0000,g/l
00943,Atseetamipriid,200.0000,g/l
00948,Raudfosfaat,9.9000,g/kg
675,Metüülhalauksifeen,10.0000,g/l
675,Pikloraam,48.0000,g/l
00795,Mesotrioon,100.0000,g/l
00869,Proheksadioonkaltsium,100.0000,g/kg
653,Mesotrioon,100.0000,g/l
506,Kvartsliiv,300.0000,g/kg
00766,MCPA,233.0000,g/l
00766,Klopüraliid,28.0000,g/l
00766,Fluroksüpüür,50.0000,g/l
00772,MCPA,233.0000,g/l
00772,Klopüraliid,28.0000,g/l
00772,Fluroksüpüür,50.0000,g/l
00724,1-metüültsüklopropeen,33.0000,g/kg
151,Magneesiumfosfiid,660.0000,g/kg
00946,Magneesiumfosfiid,660.0000,g/kg
307,Püraklostrobiin,67.0000,g/kg
307,Boskaliid,267.0000,g/kg
228,Aklonifeen,600.0000,g/l
343,Püridaat,450.0000,g/l
594,Metüüljodosulfuroon-naatrium,1.0000,g/l
594,Metüültieenkarbasoon,10.0000,g/l
594,Foraamsulfuroon-naatrium,31.5000,g/l
594,Tsüprosulfamiid,15.0000,g/l
553,etüülisoksadifeen,300.0000,g/kg
553,Metüüljodosulfuroon-naatrium,10.0000,g/kg
553,Foraamsulfuroon,300.0000,g/kg
421,Deltametriin,25.0000,g/l
00843,Prosulfokarb,800.0000,g/l
00856,Metasakloor,500.0000,g/l
354,Metasakloor,500.0000,g/l
612,Metüültribenuroon,750.0000,g/kg
00846,Tsüpermetriin,500.0000,g/l
391,Tsüpermetriin,500.0000,g/l
00847,Tsüpermetriin,500.0000,g/l
00688,Tau-fluvalinaat,240.0000,g/l
00950,Protiokonasool,250.0000,g/l
00949,Maleiinhüdrasiid,270.0000,g/l
00803,Metüülmesosulfuroon,45.0000,g/kg
00803,Metüültieenkarbasoon,15.0000,g/kg
00803,Mefenpüür-dietüül,112.5000,g/kg
00952,Protiokonasool,250.0000,g/l
215,P-butüülfluasifop,150.0000,g/l
583,Diflufenikaan,500.0000,g/l
00818,Diflufenikaan,500.0000,g/l
00818,Florasulaam,50.0000,g/l
00793,Etefoon,480.0000,g/l
00750,Etefoon,480.0000,g/l
00865,Etefoon,480.0000,g/l
611,Kaptaan,800.0000,g/kg
00956,Fluroksüpüür,400.0000,g/l
662,Glüfosaat,360.0000,g/l
591,Etüültrineksapak,175.0000,g/l
00813,Glüfosaat,540.0000,g/l
471,Glüfosaat,240.0000,g/l
471,"2,4-D",160.0000,g/l
486,Glüfosaat,360.0000,g/l
543,"2,4-D",300.0000,g/l
543,Florasulaam,6.2500,g/l
00804,Glüfosaat,360.0000,g/l
560,Glüfosaat,360.0000,g/l
00805,Glüfosaat,540.0000,g/l
318,Glüfosaat,490.0000,g/l
559,Glüfosaat,360.0000,g/l
345,Glüfosaat,360.0000,g/l
601,Glüfosaat,360.0000,g/l
00870,Glüfosaat,500.0000,g/l
578,Glüfosaat,720.0000,g/kg
280,Mefenpüür-dietüül,250.0000,g/l
280,Amidosulfuroon,100.0000,g/l
280,Metüüljodosulfuroon-naatrium,25.0000,g/l
00871,Glüfosaat,360.0000,g/l
00886,Glüfosaat,360.0000,g/l
00827,Glüfosaat,480.0000,g/l
00736,Glüfosaat,360.0000,g/l
00735,Glüfosaat,360.0000,g/l
433,Glüfosaat,480.0000,g/l
342,Pikloraam,67.0000,g/l
342,Klopüraliid,267.0000,g/l
00841,Pelargoonhape,565.5000,g/l
00758,Rasvhapete (C14-C20) kaaliumsoolad,479.8000,g/l
00703,Fluroksüpüür,180.0000,g/l
00874,Florasulaam,2.5000,g/l
00874,Fluroksüpüür,100.0000,g/l
676,Asoksüstrobiin,250.0000,g/l
00832,Fluroksüpüür,98.0000,g/l
00832,Florasulaam,2.4500,g/l
650,Etüültrineksapak,250.0000,g/l
00702,Etüültrineksapak,250.0000,g/l
622,Etüültrineksapak,250.0000,g/l
423,Etüültrineksapak,175.0000,g/l
417,Etüültrineksapak,175.0000,g/l
00833,Glüfosaat,360.0000,g/l
337,Metrafenoon,300.0000,g/l
00930,Mefentriflukonasool,66.7000,g/l
00930,Metrafenoon,100.0000,g/l
00930,Püraklostrobiin,80.0000,g/l
00797,Metüülkresoksiim,500.0000,g/kg
214,Asoksüstrobiin,250.0000,g/l
00773,Asoksüstrobiin,250.0000,g/l
00699,Asoksüstrobiin,250.0000,g/l
00837,Etüültrineksapak,250.0000,g/l
00694,Etüültrineksapak,250.0000,g/l
00695,Etüültrineksapak,250.0000,g/l
222,Etüültrineksapak,250.0000,g/l
562,Etüültrineksapak,250.0000,g/l
65,Tau-fluvalinaat,240.0000,g/l
00957,Amidosulfuroon,750.0000,g/l
351,Florasulaam,25.0000,g/kg
351,Aminopüraliid,50.0000,g/kg
351,Pürokssulaam,50.0000,g/kg
581,Aminopüraliid,300.0000,g/kg
581,Florasulaam,150.0000,g/kg
00951,Protiokonasool,250.0000,g/l
00911,Tsüantraniliprool,100.0000,g/l
68,Difenokonasool,250.0000,g/l
00707,Difenokonasool,125.0000,g/l
00707,Asoksüstrobiin,125.0000,g/l
00822,Difenokonasool,125.0000,g/l
00822,Asoksüstrobiin,125.0000,g/l
406,Difenokonasool,25.0000,g/l
406,Fludioksoniil,25.0000,g/l
406,Tebukonasool,10.0000,g/l
517,Tsüflufenamiid,15.0000,g/l
517,Difenokonasool,125.0000,g/l
290,Fludioksoniil,25.0000,g/l
290,Difenokonasool,25.0000,g/l
502,Mandipropamiid,250.0000,g/l
502,Difenokonasool,250.0000,g/l
483,Paklobutrasool,125.0000,g/l
483,Difenokonasool,250.0000,g/l
00680,Difenokonasool,250.0000,g/l
637,Asoksüstrobiin,250.0000,g/l
00875,Fluroksüpüür,150.0000,g/l
00875,Metüültiofeensulfuroon,30.0000,g/l
00700,Asoksüstrobiin,250.0000,g/l
466,Metobromuroon,500.0000,g/l
565,Metasakloor,500.0000,g/l
565,Aminopüraliid,5.3000,g/l
565,Pikloraam,13.3000,g/l
365,"2,4-D",180.0000,g/l
365,Aminopüraliid,10.0000,g/l
365,Florasulaam,5.0000,g/l
478,Florasulaam,5.0000,g/l
478,Fluroksüpüür,100.0000,g/l
599,Fluroksüpüür,333.0000,g/l
600,Fluroksüpüür,333.0000,g/l
309,Fluroksüpüür,100.0000,g/l
309,Florasulaam,2.5000,g/l
00824,Fluroksüpüür,200.0000,g/l
485,Asoksüstrobiin,250.0000,g/l
332,Mandipropamiid,250.0000,g/l
623,Fluroksüpüür,200.0000,g/l
00720,Asoksüstrobiin,250.0000,g/l
00835,Florasulaam,2.5000,g/l
00835,Fluroksüpüür,100.0000,g/l
00812,Teflutriin,5.0000,g/kg
645,Etüültrineksapak,250.0000,g/l
386,Tsüasofamiid,160.0000,g/l
00960,Fluopüraam,200.0000,g/l
00960,Tebukonasool,200.0000,g/l
00959,Milbemektiin,9.3000,g/l
199,Propoksükarbasoon-naatrium,700.0000,g/kg
624,Fluroksüpüür,100.0000,g/l
624,Florasulaam,2.5000,g/l
00741,Fluroksüpüür,100.0000,g/l
00741,Florasulaam,2.5000,g/l
520,Clonostachys rosea J1446,100.0000,g/kg
00961,COS-OGA,12.5000,g/l
00962,Proheksadioonkaltsium,75.0000,g/l
00877,Etüültrineksapak,250.0000,g/l
00929,Clonostachys rosea J1446,900.0000,g/kg
00964,Spiroksamiin,300.0000,g/l
00964,Protiokonasool,160.0000,g/l
00934,Protiokonasool,150.0000,g/l
00934,Fluksapüroksaad,75.0000,g/l
00696,Etüültrineksapak,250.0000,g/l
387,Metüültiofeensulfuroon,682.0000,g/kg
387,Metüülmetsulfuroon,68.0000,g/kg
305,Boskaliid,500.0000,g/l
00966,Paklobutrasool,125.0000,g/l
